Small dictionary from THU, with frequency data.
货真价实,FREQ:4548;
三令五申,FREQ:4545;
和睦相处,FREQ:4538;
感慨万千,FREQ:4524;
拾金不昧,FREQ:4515;
因人而异,FREQ:4514;
一纸空文,FREQ:4513;
双管齐下,FREQ:4511;
脱口而出,FREQ:4502;
曾几何时,FREQ:4498;
逃之夭夭,FREQ:4496;
不可估量,FREQ:4495;
心甘情愿,FREQ:4490;
一朝一夕,FREQ:4488;
倾家荡产,FREQ:4486;
有利可图,FREQ:4485;
证据确凿,FREQ:4473;
万众一心,FREQ:4456;
古色古香,FREQ:4454;
刻骨铭心,FREQ:4440;
东窗事发,FREQ:4435;
开门见山,FREQ:4425;
蒸蒸日上,FREQ:4423;
艰苦卓绝,FREQ:4416;
承上启下,FREQ:4410;
振奋人心,FREQ:4406;
风起云涌,FREQ:4406;
乱七八糟,FREQ:4404;
浑身解数,FREQ:4403;
一意孤行,FREQ:4398;
大有人在,FREQ:4393;
年复一年,FREQ:4388;
水土不服,FREQ:4382;
绝无仅有,FREQ:4381;
奄奄一息,FREQ:4374;
生生不息,FREQ:4370;
从头到尾,FREQ:4357;
迫不得已,FREQ:4355;
公平合理,FREQ:4353;
独善其身,FREQ:4353;
恰到好处,FREQ:4347;
一触即发,FREQ:4336;
说三道四,FREQ:4327;
不胜枚举,FREQ:4325;
各抒己见,FREQ:4325;
意味深长,FREQ:4324;
聪明才智,FREQ:4323;
生死存亡,FREQ:4317;
蠢蠢欲动,FREQ:4304;
摇摇欲坠,FREQ:4294;
世外桃源,FREQ:4290;
滔滔不绝,FREQ:4284;
欣欣向荣,FREQ:4277;
添砖加瓦,FREQ:4271;
相差无几,FREQ:4270;
来势汹汹,FREQ:4267;
有朝一日,FREQ:4264;
疑难杂症,FREQ:4264;
指日可待,FREQ:4262;
每况愈下,FREQ:4259;
精打细算,FREQ:4250;
真知灼见,FREQ:4249;
遥遥无期,FREQ:4244;
代代相传,FREQ:4237;
勇往直前,FREQ:4231;
好景不长,FREQ:4225;
另辟蹊径,FREQ:4223;
朝气蓬勃,FREQ:4223;
见怪不怪,FREQ:4218;
一劳永逸,FREQ:4218;
目不暇接,FREQ:4217;
热气腾腾,FREQ:4215;
脍炙人口,FREQ:4207;
无所事事,FREQ:4172;
甚嚣尘上,FREQ:4166;
时不我待,FREQ:4164;
打成一片,FREQ:4161;
一成不变,FREQ:4161;
怀恨在心,FREQ:4156;
总而言之,FREQ:4145;
支支吾吾,FREQ:4136;
艰苦创业,FREQ:4135;
不务正业,FREQ:4132;
身无分文,FREQ:4122;
别具一格,FREQ:4121;
治病救人,FREQ:4105;
岌岌可危,FREQ:4089;
丰功伟绩,FREQ:4087;
他山之石,FREQ:4080;
避重就轻,FREQ:4069;
按部就班,FREQ:4063;
急转直下,FREQ:4058;
一举两得,FREQ:4054;
兴高采烈,FREQ:4052;
同心协力,FREQ:4045;
侃侃而谈,FREQ:4035;
恼羞成怒,FREQ:4018;
天壤之别,FREQ:4017;
咄咄逼人,FREQ:4016;
千篇一律,FREQ:4011;
寸步难行,FREQ:4007;
嘘寒问暖,FREQ:4004;
不失时机,FREQ:3999;
直截了当,FREQ:3997;
白手起家,FREQ:3989;
人去楼空,FREQ:3979;
置若罔闻,FREQ:3978;
瞠目结舌,FREQ:3969;
长途跋涉,FREQ:3962;
有说有笑,FREQ:3956;
严于律己,FREQ:3955;
群策群力,FREQ:3953;
前车之鉴,FREQ:3952;
一拥而上,FREQ:3951;
毋庸讳言,FREQ:3950;
违法乱纪,FREQ:3949;
大政方针,FREQ:3947;
痛定思痛,FREQ:3943;
难上加难,FREQ:3941;
并肩作战,FREQ:3939;
始终如一,FREQ:3928;
数不胜数,FREQ:3927;
啼笑皆非,FREQ:3927;
不闻不问,FREQ:3924;
不相上下,FREQ:3910;
自给自足,FREQ:3908;
有生之年,FREQ:3908;
打草惊蛇,FREQ:3900;
