Small dictionary from THU, with frequency data.
图穷匕见,FREQ:94;
狼狈逃窜,FREQ:94;
无名小辈,FREQ:94;
光荣岁月,FREQ:94;
闲言闲语,FREQ:94;
秉公办理,FREQ:94;
月明星稀,FREQ:94;
多谋善断,FREQ:94;
刨根究底,FREQ:94;
一望而知,FREQ:94;
木牛流马,FREQ:94;
一时之选,FREQ:94;
殷忧启圣,FREQ:93;
血性男儿,FREQ:93;
气味相投,FREQ:93;
闭月羞花,FREQ:93;
胯下之辱,FREQ:93;
含笑九泉,FREQ:93;
惊喜交加,FREQ:93;
永矢弗谖,FREQ:93;
物换星移,FREQ:93;
安邦定国,FREQ:93;
喊冤叫屈,FREQ:93;
宁为玉碎,FREQ:93;
势如水火,FREQ:93;
积谷防饥,FREQ:93;
愁云惨淡,FREQ:92;
丹书铁券,FREQ:92;
料事如神,FREQ:92;
同气连枝,FREQ:92;
若有所失,FREQ:92;
其言也善,FREQ:92;
没齿难忘,FREQ:92;
饱食终日,FREQ:92;
无关宏旨,FREQ:92;
杯盘狼藉,FREQ:92;
杞人之忧,FREQ:92;
识文断字,FREQ:92;
三山五岳,FREQ:92;
人才难得,FREQ:92;
讲经说法,FREQ:92;
耳根清净,FREQ:92;
玉树琼枝,FREQ:91;
切齿痛恨,FREQ:91;
子丑寅卯,FREQ:91;
客随主便,FREQ:91;
参差错落,FREQ:91;
钩心斗角,FREQ:91;
不知就里,FREQ:91;
添枝加叶,FREQ:91;
天外飞来,FREQ:91;
奇技淫巧,FREQ:91;
倒果为因,FREQ:91;
砍瓜切菜,FREQ:91;
文人学士,FREQ:91;
惺惺作态,FREQ:90;
泰山北斗,FREQ:90;
改恶从善,FREQ:90;
仗义疏财,FREQ:90;
转弯抹角,FREQ:90;
怒火冲天,FREQ:90;
有约在先,FREQ:90;
跃马扬鞭,FREQ:90;
举步艰难,FREQ:89;
长夜漫漫,FREQ:89;
威信扫地,FREQ:89;
曲里拐弯,FREQ:89;
夸父逐日,FREQ:89;
踏破铁鞋,FREQ:89;
舍身求法,FREQ:89;
专门利人,FREQ:89;
枉费心机,FREQ:89;
薄情寡义,FREQ:89;
遥遥相对,FREQ:89;
盖世英雄,FREQ:89;
得陇望蜀,FREQ:89;
食不下咽,FREQ:89;
江山易改,FREQ:89;
利害攸关,FREQ:89;
没头苍蝇,FREQ:89;
舍命救人,FREQ:89;
扶危救困,FREQ:88;
刀枪剑戟,FREQ:88;
大头小尾,FREQ:88;
绝口不谈,FREQ:88;
在此一举,FREQ:88;
当断不断,FREQ:88;
成事不足,FREQ:88;
忠肝义胆,FREQ:88;
静若处子,FREQ:88;
身无长物,FREQ:88;
成群结伙,FREQ:88;
冲口而出,FREQ:88;
暗箭伤人,FREQ:88;
不药而愈,FREQ:88;
杳无踪影,FREQ:88;
目不忍睹,FREQ:88;
得意之笔,FREQ:87;
始于足下,FREQ:87;
海角天涯,FREQ:87;
招蜂引蝶,FREQ:87;
恩断义绝,FREQ:87;
不识抬举,FREQ:87;
力有未逮,FREQ:87;
离奇古怪,FREQ:87;
片甲不留,FREQ:87;
不知凡几,FREQ:87;
清廉正直,FREQ:87;
油腔滑调,FREQ:87;
一触即溃,FREQ:87;
邪不胜正,FREQ:87;
糟糠之妻,FREQ:87;
熬更守夜,FREQ:87;
桃之夭夭,FREQ:87;
源源而来,FREQ:87;
济世救人,FREQ:87;
娓娓动听,FREQ:87;
一天一地,FREQ:87;
头昏目眩,FREQ:87;
莫此为甚,FREQ:86;
亲如手足,FREQ:86;
空话连篇,FREQ:86;
百孔千疮,FREQ:86;
唇红齿白,FREQ:86;
买卖公平,FREQ:86;
水中捞月,FREQ:86;
以直报怨,FREQ:86;
言人人殊,FREQ:86;
谬种流传,FREQ:86;
艺高胆大,FREQ:86;
名垂千古,FREQ:86;
七十二行,FREQ:86;
十二金钗,FREQ:86;
如痴如狂,FREQ:86;
海底捞针,FREQ:86;
沁人肺腑,FREQ:85;
自命清高,FREQ:85;
一手包揽,FREQ:85;
酒后失言,FREQ:85;
人之将死,FREQ:85;
觊觎之心,FREQ:85;
明升暗降,FREQ:85;
国无宁日,FREQ:85;
贼眉鼠眼,FREQ:85;
相辅而行,FREQ:85;
不落窠臼,FREQ:85;
相沿成习,FREQ:85;
人为财死,FREQ:85;
春花秋月,FREQ:85;
择邻而居,FREQ:85;
松鹤延年,FREQ:85;
官逼民反,FREQ:85;
求仁得仁,FREQ:85;
临危授命,FREQ:84;
一人之下,FREQ:84;
好事之徒,FREQ:84;
神机妙算,FREQ:84;
筋疲力竭,FREQ:84;
云谲波诡,FREQ:84;
独断独行,FREQ:84;
绫罗绸缎,FREQ:84;
班师回朝,FREQ:84;
渺无音讯,FREQ:84;
说长道短,FREQ:84;
秋水伊人,FREQ:84;
侧目而视,FREQ:84;
光复旧物,FREQ:84;
水性杨花,FREQ:83;
罪恶滔天,FREQ:83;
魂不附体,FREQ:83;
行有余力,FREQ:83;
东跑西颠,FREQ:83;
包罗万有,FREQ:83;
海阔天高,FREQ:83;
胡服骑射,FREQ:83;
以其昏昏,FREQ:83;
居大不易,FREQ:83;
三妻四妾,FREQ:83;
参差不一,FREQ:82;
肥头大耳,FREQ:82;
夸父追日,FREQ:82;
无可讳言,FREQ:82;
不知轻重,FREQ:82;
鼎足而立,FREQ:82;
碧空万里,FREQ:81;
宁折不弯,FREQ:81;
乐天知命,FREQ:81;
不知死活,FREQ:81;
月下老人,FREQ:81;
绣花枕头,FREQ:81;
男盗女娼,FREQ:81;
敬谢不敏,FREQ:81;
视如珍宝,FREQ:81;
废话连篇,FREQ:81;
万古流芳,FREQ:81;
好整以暇,FREQ:81;
不知有汉,FREQ:81;
结发夫妻,FREQ:81;
归根结蒂,FREQ:81;
剑胆琴心,FREQ:80;
束手待毙,FREQ:80;
另请高明,FREQ:80;
水可载舟,FREQ:80;
难以理喻,FREQ:80;
穷且益坚,FREQ:80;
大将风度,FREQ:80;
匹夫之勇,FREQ:80;
蓬荜生辉,FREQ:80;
明镜高悬,FREQ:80;
自轻自贱,FREQ:80;
赤地千里,FREQ:80;
移山填海,FREQ:80;
争前恐后,FREQ:79;
前堵后追,FREQ:79;
拆东补西,FREQ:79;
空谷幽兰,FREQ:79;
彻底澄清,FREQ:79;
视同儿戏,FREQ:79;
灿若繁星,FREQ:79;
乘龙快婿,FREQ:79;
日月如梭,FREQ:79;
宵衣旰食,FREQ:79;
穿凿附会,FREQ:79;
形容憔悴,FREQ:79;
竹报平安,FREQ:78;
坐地分赃,FREQ:78;
百废待举,FREQ:78;
东郭先生,FREQ:78;
开物成务,FREQ:78;
敬老尊贤,FREQ:78;
不名一文,FREQ:78;
极而言之,FREQ:78;
宛转悠扬,FREQ:78;
同心戮力,FREQ:78;
力所不逮,FREQ:78;
躬行实践,FREQ:78;
割据一方,FREQ:78;
身历其境,FREQ:78;
奉天承运,FREQ:78;
定于一尊,FREQ:78;
看菜吃饭,FREQ:78;
不矜细行,FREQ:78;
花香鸟语,FREQ:78;
放火烧山,FREQ:78;
分文不值,FREQ:78;
饱经风雨,FREQ:78;
红颜薄命,FREQ:78;
衣不解带,FREQ:78;
不足为训,FREQ:78;
过而能改,FREQ:78;
宏图大志,FREQ:77;
雨打风吹,FREQ:77;
视为儿戏,FREQ:77;
小康之家,FREQ:77;
明媒正娶,FREQ:77;
前倨后恭,FREQ:77;
春风浩荡,FREQ:77;
宏图大略,FREQ:77;
令人齿冷,FREQ:77;
低声细语,FREQ:77;
所见略同,FREQ:77;
千山万壑,FREQ:77;
感慨系之,FREQ:77;
一个半个,FREQ:77;
躬逢其盛,FREQ:77;
强奸民意,FREQ:77;
养家活口,FREQ:77;
四面受敌,FREQ:77;
千门万户,FREQ:76;
物阜民丰,FREQ:76;
人穷志短,FREQ:76;
星移斗转,FREQ:76;
兵不厌诈,FREQ:76;
来去无踪,FREQ:76;
混淆黑白,FREQ:76;
借古讽今,FREQ:76;
支吾其词,FREQ:76;
嫁狗随狗,FREQ:76;
光可鉴人,FREQ:76;
长幼尊卑,FREQ:76;
不辨真伪,FREQ:76;
地灵人杰,FREQ:76;
始终不懈,FREQ:76;
家贫如洗,FREQ:75;
街头巷议,FREQ:75;
龙盘虎踞,FREQ:75;
尽释前嫌,FREQ:75;
鸟为食亡,FREQ:75;
败事有余,FREQ:75;
富而好礼,FREQ:75;
狼奔豕突,FREQ:75;
不吝赐教,FREQ:75;
琼楼玉宇,FREQ:75;
长风破浪,FREQ:75;
俯首听命,FREQ:75;
当众出丑,FREQ:75;
求才若渴,FREQ:75;
粥少僧多,FREQ:75;
双宿双飞,FREQ:75;
鲜衣怒马,FREQ:75;
福寿双全,FREQ:74;
死乞白赖,FREQ:74;
非驴非马,FREQ:74;
额手称庆,FREQ:74;
述而不作,FREQ:74;
每下愈况,FREQ:74;
宽宏大度,FREQ:74;
物伤其类,FREQ:74;
回肠荡气,FREQ:74;
有眼无珠,FREQ:74;
决一胜负,FREQ:74;
彼此彼此,FREQ:74;
行而不远,FREQ:74;
弹尽援绝,FREQ:74;
年老色衰,FREQ:74;
祛病延年,FREQ:74;
碧血丹心,FREQ:73;
万头攒动,FREQ:73;
认贼作父,FREQ:73;
惟我独尊,FREQ:73;
其实难副,FREQ:73;
走为上策,FREQ:73;
一碧万顷,FREQ:73;
天打雷劈,FREQ:73;
月朗星稀,FREQ:73;
袒胸露背,FREQ:73;
身心交瘁,FREQ:73;
不如归去,FREQ:73;
明月清风,FREQ:73;
比手画脚,FREQ:73;
雀屏中选,FREQ:73;
游必有方,FREQ:72;
买空卖空,FREQ:72;
袅袅婷婷,FREQ:72;
料峭春寒,FREQ:72;
锦绣江山,FREQ:72;
感恩图报,FREQ:72;
孤魂野鬼,FREQ:72;
山摇地动,FREQ:72;
加官进爵,FREQ:72;
率土之滨,FREQ:72;
必有我师,FREQ:72;
束手无措,FREQ:72;
寻踪觅迹,FREQ:71;
铮铮铁汉,FREQ:71;
脍不厌细,FREQ:71;
笔墨官司,FREQ:71;
绝代佳人,FREQ:71;
聪明睿智,FREQ:71;
高不可及,FREQ:71;
隔墙有耳,FREQ:71;
争强斗狠,FREQ:71;
天涯咫尺,FREQ:71;
先入之见,FREQ:71;
半懂不懂,FREQ:70;
吴下阿蒙,FREQ:70;
斜风细雨,FREQ:70;
厚古薄今,FREQ:70;
应答如流,FREQ:70;
一曝十寒,FREQ:70;
同心共济,FREQ:70;
蚕食鲸吞,FREQ:70;
月朗风清,FREQ:70;
有来无回,FREQ:70;
百川归海,FREQ:70;
无所不通,FREQ:70;
远亲近邻,FREQ:70;
有勇无谋,FREQ:70;
博闻强识,FREQ:70;
惠而不费,FREQ:70;
杳无人烟,FREQ:70;
正心诚意,FREQ:70;
掰开揉碎,FREQ:70;
慎终如始,FREQ:70;
鸡鸣犬吠,FREQ:70;
一语破的,FREQ:69;
河清海晏,FREQ:69;
徘徊观望,FREQ:69;
冰雪聪明,FREQ:69;
虎踞龙盘,FREQ:69;
世态人情,FREQ:69;
破门而出,FREQ:69;
成败萧何,FREQ:69;
书香人家,FREQ:69;
不为瓦全,FREQ:69;
幕天席地,FREQ:69;
敢想敢说,FREQ:69;
百业萧条,FREQ:69;
郁郁苍苍,FREQ:69;
海底捞月,FREQ:69;
好学不倦,FREQ:69;
尊姓大名,FREQ:69;
暮色苍茫,FREQ:69;
俯仰之间,FREQ:69;
忠孝两全,FREQ:69;
鱼贯而行,FREQ:69;
奴颜婢膝,FREQ:69;
琴瑟和谐,FREQ:68;
朴素无华,FREQ:68;
颠来倒去,FREQ:68;
隐名埋姓,FREQ:68;
假手于人,FREQ:68;
半新不旧,FREQ:68;
遥遥在望,FREQ:68;
凿壁偷光,FREQ:68;
车载斗量,FREQ:68;
美人迟暮,FREQ:68;
抱打不平,FREQ:68;
事缓则圆,FREQ:68;
精力过人,FREQ:68;
无可置喙,FREQ:67;
地利人和,FREQ:67;
蟾宫折桂,FREQ:67;
谈笑自如,FREQ:67;
冰雪严寒,FREQ:67;
心灰意懒,FREQ:67;
以战养战,FREQ:67;
愣头愣脑,FREQ:67;
岁寒三友,FREQ:67;
一言为定,FREQ:67;
四海升平,FREQ:67;
难乎其难,FREQ:67;
环肥燕瘦,FREQ:67;
传为笑谈,FREQ:67;
山长水远,FREQ:67;
怪模怪样,FREQ:67;
立功赎罪,FREQ:67;
能掐会算,FREQ:67;
是非得失,FREQ:67;
撒泼打滚,FREQ:67;
进退有度,FREQ:67;
狗拿耗子,FREQ:67;
不足为凭,FREQ:67;
一日不见,FREQ:67;
名震一时,FREQ:67;
立德立言,FREQ:67;
暗箭难防,FREQ:67;
不容置喙,FREQ:66;
以丰补歉,FREQ:66;
豁达大度,FREQ:66;
年逾不惑,FREQ:66;
令人起敬,FREQ:66;
君臣佐使,FREQ:66;
八面威风,FREQ:66;
福寿康宁,FREQ:66;
功臣自居,FREQ:66;
有闻必录,FREQ:66;
黯然销魂,FREQ:66;
形影相吊,FREQ:66;
股掌之上,FREQ:66;
止戈为武,FREQ:66;
瞎子摸鱼,FREQ:66;
公平正直,FREQ:66;
投鞭断流,FREQ:66;
茕茕孑立,FREQ:66;
堂皇富丽,FREQ:66;
昏头昏脑,FREQ:66;
倚强凌弱,FREQ:66;
急不及待,FREQ:66;
人多手杂,FREQ:65;
旁逸斜出,FREQ:65;
逞强好胜,FREQ:65;
呼之即来,FREQ:65;
夜阑人静,FREQ:65;
纯属骗局,FREQ:65;
以人为鉴,FREQ:65;
绕梁三日,FREQ:65;
垂手可得,FREQ:65;
酣然入梦,FREQ:65;
言者谆谆,FREQ:65;
贪财好色,FREQ:65;
八方支持,FREQ:65;
上无片瓦,FREQ:65;
山高水远,FREQ:65;
子为父隐,FREQ:65;
狗仗人势,FREQ:65;
慎重其事,FREQ:65;
军容风纪,FREQ:65;
默默无声,FREQ:65;
不过尔尔,FREQ:65;
浑身是胆,FREQ:65;
古稀之年,FREQ:65;
寸草春晖,FREQ:65;
脑满肠肥,FREQ:65;
画中有诗,FREQ:64;
肝脑涂地,FREQ:64;
挨门逐户,FREQ:64;
人模狗样,FREQ:64;
枯瘦如柴,FREQ:64;
云消雾散,FREQ:64;
朝秦暮楚,FREQ:64;
区区小事,FREQ:64;
大巧若拙,FREQ:64;
立于不败,FREQ:64;
羽扇纶巾,FREQ:64;
敢怒敢言,FREQ:64;
慢声细语,FREQ:64;
时移势易,FREQ:64;
柔肠寸断,FREQ:64;
一无所长,FREQ:64;
举止言谈,FREQ:64;
尺寸之功,FREQ:64;
见龙卸甲,FREQ:64;
罪该万死,FREQ:64;
沾花惹草,FREQ:64;
文武全才,FREQ:64;
虽死犹生,FREQ:64;
无补于事,FREQ:64;
一唱三叹,FREQ:63;
草蛇灰线,FREQ:63;
不入虎穴,FREQ:63;
用尽心机,FREQ:63;
地动山摇,FREQ:63;
东歪西倒,FREQ:63;
杏花春雨,FREQ:63;
弹指之间,FREQ:63;
敏而好学,FREQ:63;
细微末节,FREQ:63;
母慈子孝,FREQ:63;
别树一帜,FREQ:63;
长生不死,FREQ:63;
好声好气,FREQ:63;
一箭之遥,FREQ:63;
祸福相依,FREQ:63;
烈士暮年,FREQ:63;
有耻且格,FREQ:63;
心口如一,FREQ:63;
万世师表,FREQ:63;
万语千言,FREQ:63;
奉为至宝,FREQ:62;
诲淫诲盗,FREQ:62;
不相为谋,FREQ:62;
浮生若梦,FREQ:62;
吉凶祸福,FREQ:62;
名缰利锁,FREQ:62;
前车可鉴,FREQ:62;
五方杂处,FREQ:62;
十字街口,FREQ:62;
混混沌沌,FREQ:62;
泛泛之交,FREQ:62;
多不胜数,FREQ:62;
交口赞誉,FREQ:62;
顾盼生辉,FREQ:62;
鱼肉乡里,FREQ:62;
狂风恶浪,FREQ:62;
父为子隐,FREQ:62;
流年似水,FREQ:62;
春生夏长,FREQ:62;
音容宛在,FREQ:62;
鸡鸣狗吠,FREQ:62;
才疏学浅,FREQ:62;
防民之口,FREQ:62;
人世沧桑,FREQ:61;
别来无恙,FREQ:61;
波平浪静,FREQ:61;
钟鸣鼎食,FREQ:61;
来处不易,FREQ:61;
铁面无情,FREQ:61;
逼人太甚,FREQ:61;
瓜分豆剖,FREQ:61;
赤身露体,FREQ:61;
卖国求荣,FREQ:61;
狂涛巨浪,FREQ:61;
安家乐业,FREQ:61;
改弦易张,FREQ:61;
置之死地,FREQ:61;
低头哈腰,FREQ:61;
手疾眼快,FREQ:61;
相机而动,FREQ:61;
百年之好,FREQ:61;
山乡巨变,FREQ:61;
有凤来仪,FREQ:61;
心无挂碍,FREQ:61;
谈笑自若,FREQ:60;
寓意深长,FREQ:60;
嫉贤妒能,FREQ:60;
楼台亭阁,FREQ:60;
养虎遗患,FREQ:60;
鹊巢鸠占,FREQ:60;
锄强扶弱,FREQ:60;
乘机而入,FREQ:60;
满目青山,FREQ:60;
诗中有画,FREQ:60;
债多不愁,FREQ:60;
一男半女,FREQ:60;
为善最乐,FREQ:60;
深信不疑,FREQ:60;
老于世故,FREQ:60;
白云苍狗,FREQ:60;
转战千里,FREQ:60;
丁丁当当,FREQ:60;
胸中块垒,FREQ:60;
清静无为,FREQ:60;
旭日初升,FREQ:60;
春满人间,FREQ:60;
阴曹地府,FREQ:60;
人事不知,FREQ:60;
扶摇而上,FREQ:60;
辩才无碍,FREQ:59;
海不扬波,FREQ:59;
焚膏继晷,FREQ:59;
庄周梦蝶,FREQ:59;
极目远望,FREQ:59;
存乎一心,FREQ:59;
相形失色,FREQ:59;
名门闺秀,FREQ:59;
十字街头,FREQ:59;
忸怩作态,FREQ:59;
调和阴阳,FREQ:59;
知情不举,FREQ:59;
用兵如神,FREQ:59;
霄壤之别,FREQ:59;
雷霆一击,FREQ:59;
偏信则暗,FREQ:59;
响遏行云,FREQ:59;
观者如云,FREQ:59;
百花生日,FREQ:59;
不分轩轾,FREQ:59;
我见犹怜,FREQ:59;
即兴之作,FREQ:59;
焉得虎子,FREQ:59;
积年累月,FREQ:59;
义结金兰,FREQ:58;
翩若惊鸿,FREQ:58;
兄友弟恭,FREQ:58;
如丧考妣,FREQ:58;
博拉尔德,FREQ:58;
两面夹攻,FREQ:58;
敲骨吸髓,FREQ:58;
横行天下,FREQ:58;
寻根问底,FREQ:58;
罪恶深重,FREQ:58;
有口无心,FREQ:58;
正直无私,FREQ:58;
年老力衰,FREQ:58;
流言飞语,FREQ:58;
问鼎中原,FREQ:57;
百般折磨,FREQ:57;
出将入相,FREQ:57;
开花结实,FREQ:57;
一则以喜,FREQ:57;
以身试险,FREQ:57;
公道合理,FREQ:57;
送往迎来,FREQ:57;
血口喷人,FREQ:57;
衮衮诸公,FREQ:57;
落草为寇,FREQ:57;
凤凰于飞,FREQ:57;
是非之心,FREQ:57;
离乡别井,FREQ:57;
口蜜腹剑,FREQ:57;
避实击虚,FREQ:57;
七窍生烟,FREQ:57;
雕栏玉砌,FREQ:57;
君子一言,FREQ:57;
青枝绿叶,FREQ:57;
说千道万,FREQ:57;
明眸善睐,FREQ:57;
首尾两端,FREQ:57;
财不露白,FREQ:57;
披沙拣金,FREQ:57;
衣冠禽兽,FREQ:57;
人寿年丰,FREQ:57;
略高一筹,FREQ:57;
水光山色,FREQ:56;
奸淫掳掠,FREQ:56;
六道轮回,FREQ:56;
柳绿花红,FREQ:56;
永垂青史,FREQ:56;
自愧弗如,FREQ:56;
刀山火海,FREQ:56;
刻骨仇恨,FREQ:56;
畸重畸轻,FREQ:56;
足不出门,FREQ:56;
不知其可,FREQ:56;
摇尾乞怜,FREQ:56;
一片冰心,FREQ:56;
积小成大,FREQ:56;
死不足惜,FREQ:56;
人多眼杂,FREQ:56;
弄巧反拙,FREQ:56;
初试锋芒,FREQ:56;
大仁大义,FREQ:55;
短小精干,FREQ:55;
绿肥红瘦,FREQ:55;
夫子自道,FREQ:55;
哭天抹泪,FREQ:55;
煞费心机,FREQ:55;
走为上计,FREQ:55;
莫可奈何,FREQ:55;
笼中之鸟,FREQ:55;
决一雌雄,FREQ:55;
民胞物与,FREQ:55;
小人得志,FREQ:55;
铁壁铜墙,FREQ:55;
穷奢极侈,FREQ:55;
扬幡招魂,FREQ:55;
硕大无朋,FREQ:55;
狗头军师,FREQ:55;
神思恍惚,FREQ:55;
徐娘半老,FREQ:55;
贵在知心,FREQ:55;
驽马十驾,FREQ:55;
佶屈聱牙,FREQ:55;
以古为镜,FREQ:55;
引以为耻,FREQ:55;
鼎足之势,FREQ:54;
称心满意,FREQ:54;
不值一哂,FREQ:54;
藏头露尾,FREQ:54;
芬芳馥郁,FREQ:54;
危急存亡,FREQ:54;
私心杂念,FREQ:54;
百读不厌,FREQ:54;
借坡下驴,FREQ:54;
儿女情长,FREQ:54;
篡党夺权,FREQ:54;
草草收兵,FREQ:54;
太平盛世,FREQ:54;
将功赎罪,FREQ:54;
刁钻古怪,FREQ:54;
四方八面,FREQ:54;
不识好歹,FREQ:54;
得意之色,FREQ:54;
十二万分,FREQ:54;
弃如敝屣,FREQ:54;
火上添油,FREQ:54;
相煎何急,FREQ:53;
洞察秋毫,FREQ:53;
两虎相争,FREQ:53;
本小利薄,FREQ:53;
弥天大祸,FREQ:53;
稍胜一筹,FREQ:53;
喃喃细语,FREQ:53;
残兵败将,FREQ:53;
悠游自在,FREQ:53;
大吹大擂,FREQ:53;
风云变色,FREQ:53;
只知其一,FREQ:53;
送旧迎新,FREQ:53;
漫天开价,FREQ:53;
蜚短流长,FREQ:53;
聚讼纷纭,FREQ:53;
一物不知,FREQ:53;
深恶痛疾,FREQ:53;
餐风露宿,FREQ:53;
一孔之见,FREQ:53;
屡次三番,FREQ:53;
大谬不然,FREQ:53;
贪小失大,FREQ:53;
百足之虫,FREQ:52;
轻于鸿毛,FREQ:52;
于今为烈,FREQ:52;
丢盔卸甲,FREQ:52;
雍容典雅,FREQ:52;
六根清净,FREQ:52;
无从置喙,FREQ:52;
排难解纷,FREQ:52;
诗礼传家,FREQ:52;
非分之想,FREQ:52;
驻颜有术,FREQ:52;
白手兴家,FREQ:52;
宽大为怀,FREQ:52;
白浪滔天,FREQ:52;
以夷制夷,FREQ:52;
后悔不及,FREQ:51;
晓风残月,FREQ:51;
金口玉言,FREQ:51;
脉脉含情,FREQ:51;
甘之若饴,FREQ:51;
神不守舍,FREQ:51;
士别三日,FREQ:51;
戴高帽子,FREQ:51;
丑态毕露,FREQ:51;
崛地而起,FREQ:51;
少安毋躁,FREQ:51;
涕泪交加,FREQ:51;
森严壁垒,FREQ:51;
不足为据,FREQ:51;
百病丛生,FREQ:51;
坦然自若,FREQ:51;
酒囊饭袋,FREQ:51;
相反相成,FREQ:51;
聪颖过人,FREQ:50;
急如星火,FREQ:50;
妇人之仁,FREQ:50;
夜不成寐,FREQ:50;
新来乍到,FREQ:50;
血染沙场,FREQ:50;
不求闻达,FREQ:50;
不生不灭,FREQ:50;
不蔓不枝,FREQ:50;
史不绝书,FREQ:50;
撒豆成兵,FREQ:50;
脉络分明,FREQ:50;
峨冠博带,FREQ:50;
一抔黄土,FREQ:50;
杀鸡骇猴,FREQ:50;
首善之地,FREQ:50;
饱经忧患,FREQ:50;
脸红耳赤,FREQ:49;
法不阿贵,FREQ:49;
期期艾艾,FREQ:49;
缩衣节食,FREQ:49;
轻装简从,FREQ:49;
所费不赀,FREQ:49;
积毁销骨,FREQ:49;
唾面自干,FREQ:49;
浩浩汤汤,FREQ:49;
真伪莫辨,FREQ:49;
福无双至,FREQ:49;
猜拳行令,FREQ:49;
不无小补,FREQ:49;
勇者不惧,FREQ:49;
青灯黄卷,FREQ:49;
官样文章,FREQ:49;
转忧为喜,FREQ:49;
心焦如焚,FREQ:49;
一枕黄粱,FREQ:49;
言之谆谆,FREQ:49;
逢山开道,FREQ:49;
意在言外,FREQ:49;
宝马香车,FREQ:49;
追根求源,FREQ:48;
铁嘴钢牙,FREQ:48;
借贷无门,FREQ:48;
放纵不羁,FREQ:48;
倏忽之间,FREQ:48;
开国元老,FREQ:48;
苦不聊生,FREQ:48;
命里注定,FREQ:48;
一笑一颦,FREQ:48;
尔俸尔禄,FREQ:48;
卖儿卖女,FREQ:48;
千金不换,FREQ:48;
三宫六院,FREQ:48;
金刚怒目,FREQ:48;
余味无穷,FREQ:48;
文采风流,FREQ:48;
众口相传,FREQ:48;
五里雾中,FREQ:48;
老羞成怒,FREQ:48;
天不作美,FREQ:48;
穷家富路,FREQ:48;
犯上作乱,FREQ:48;
知人论世,FREQ:48;
数见不鲜,FREQ:48;
言笑晏晏,FREQ:48;
骨肉至亲,FREQ:48;
整军经武,FREQ:48;
寿山福海,FREQ:48;
天清气朗,FREQ:48;
拒人千里,FREQ:47;
绳锯木断,FREQ:47;
打铁趁热,FREQ:47;
艰深晦涩,FREQ:47;
恒河沙数,FREQ:47;
旁枝末节,FREQ:47;
面如死灰,FREQ:47;
不避艰险,FREQ:47;
南船北马,FREQ:47;
少不经事,FREQ:47;
无隙可乘,FREQ:47;
酒肉朋友,FREQ:47;
闭门读书,FREQ:47;
三拳两脚,FREQ:47;
谆谆善诱,FREQ:47;
以守为攻,FREQ:47;
狼心狗肺,FREQ:47;
过路财神,FREQ:47;
霞光万道,FREQ:47;
明枪易躲,FREQ:47;
驰名天下,FREQ:47;
智者千虑,FREQ:47;
离合悲欢,FREQ:47;
亦复如是,FREQ:47;
见利思义,FREQ:47;
父母之邦,FREQ:47;
万里长征,FREQ:47;
万事胜意,FREQ:47;
血泪斑斑,FREQ:47;
何足挂齿,FREQ:46;
稀世之宝,FREQ:46;
议论纷纭,FREQ:46;
日思夜盼,FREQ:46;
进道若退,FREQ:46;
迁怒于人,FREQ:46;
广征博引,FREQ:46;
豺狼虎豹,FREQ:46;
百废俱兴,FREQ:46;
半文半白,FREQ:46;
掎角之势,FREQ:46;
别有天地,FREQ:46;
惊慌失色,FREQ:46;
大有可观,FREQ:46;
要而言之,FREQ:46;
恻隐之心,FREQ:46;
栉比鳞次,FREQ:46;
岁月不居,FREQ:46;
无始无终,FREQ:46;
夹枪带棒,FREQ:46;
曲不离口,FREQ:46;
旷世奇才,FREQ:46;
从容自在,FREQ:46;
香车宝马,FREQ:46;
寓情于景,FREQ:46;
狗屁不通,FREQ:46;
弃旧图新,FREQ:46;
杀父之仇,FREQ:46;
令出必行,FREQ:46;
深宅大院,FREQ:45;
凭空捏造,FREQ:45;
趑趄不前,FREQ:45;
四肢百骸,FREQ:45;
莫可名状,FREQ:45;
截长补短,FREQ:45;
痛入骨髓,FREQ:45;
兔死狗烹,FREQ:45;
哀兵必胜,FREQ:45;
仰之弥高,FREQ:45;
苦海无边,FREQ:45;
富贵在天,FREQ:45;
别出新意,FREQ:45;
毫无所知,FREQ:45;
形销骨立,FREQ:45;
一日三省,FREQ:45;
位极人臣,FREQ:45;
荒唐无稽,FREQ:45;
雪泥鸿爪,FREQ:45;
存而不论,FREQ:45;
临渴掘井,FREQ:45;
生死不渝,FREQ:45;
莫测高深,FREQ:45;
东游西逛,FREQ:45;
酒色财气,FREQ:45;
寻章摘句,FREQ:45;
开门揖盗,FREQ:44;
文房四宝,FREQ:44;
风月无边,FREQ:44;
寝不安席,FREQ:44;
纷纷攘攘,FREQ:44;
再三再四,FREQ:44;
死记硬背,FREQ:44;
从容自若,FREQ:44;
安如泰山,FREQ:44;
志大才疏,FREQ:44;
油光可鉴,FREQ:44;
斩关夺隘,FREQ:44;
若明若暗,FREQ:44;
瞒上欺下,FREQ:44;
愧不敢当,FREQ:44;
清闲自在,FREQ:44;
剑及履及,FREQ:44;
金马碧鸡,FREQ:44;
甚于防川,FREQ:44;
豪放不羁,FREQ:44;
人情世态,FREQ:44;
冷血动物,FREQ:44;
囊萤映雪,FREQ:44;
大得人心,FREQ:44;
一口一声,FREQ:44;
下笔千言,FREQ:44;
贼头贼脑,FREQ:43;
